Action	User	Name	Condition	Exceptions
Allow	Everyone	C:: VMWARE SVGA 3D signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: %SYSTEM32%\*	Path	
Allow	Everyone	C:: MICROSOFT MALWARE PROTECTION signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: %OSDRIVE%\USERS\PUBLIC\*	Path	
Allow	Everyone	C:: MICROSOFT VISUAL C++ 2015-2022 REDISTRIBUTABLE (X86) - 14.32.31332 signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: MICROSOFT VISUAL C++ 2015-2022 REDISTRIBUTABLE (X64) - 14.32.31332 signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: TEHTRIS EPP AGENT signed by O=TEHTRI-SECURITY S.A.S, L=PARIS, S=ILE-DE-FRANCE, C=FR	Publisher	
Allow	Everyone	C:: %OSDRIVE%\USERS\ADMINISTRATOR\DOWNLOADS\SYSMON\*	Path	
Allow	Everyone	C:: SYSINTERNALS ACCESSCHK signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS ACCESSENUM signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS ADEXPLORER signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: ADINSIGHT signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: ADRESTORE signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS AUTOLOGON signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS AUTORUNS signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: BGINFO signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS CACHESET signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS CLOCKRES signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS CONTIG signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: COREINFO signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS CPUSTRES signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: CTRL2CAP signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS DEBUGVIEW signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: DESKTOPS signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: DISK2VHD signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS DISKEXTENT signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS DISKMON signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: DISKVIEW signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS DU signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS EFSDUMP signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS FINDLINKS signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS HANDLE signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS HEX2DEC signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS JUNCTION signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: %OSDRIVE%\USERS\ADMINISTRATOR\DOWNLOADS\SYSINTERNALSSUITE\*	Path	
Allow	Everyone	C:: SYSINTERNALS LISTDLLS signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS LIVEKD signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS LOADORD signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS LOGONSESSIONS signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: MOVEFILE signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS NOTMYFAULT signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS NTFSINFO signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS PENDMOVES signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS PIPELIST signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS PORTMON signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: PROCDUMP signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: PROCESS EXPLORER signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS PROCMON signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS PSFILE signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS PSGETSID signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS PSINFO signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS PSKILL signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS PSLIST signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS PSLOGGEDON signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS PSLOGLIST signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS PSPASSWD signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS PSPING signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS PSSERVICE signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS PSSHUTDOWN signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS PSSUSPEND signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: RAMMAP signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: REMOTE DESKTOP CONNECTION MANAGER signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS REGDELNULL signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS REGJUMP signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS RU signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS SDELETE signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS SHAREENUM signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS SHELLRUNAS signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS SIGCHECK signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS STREAMS signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS STRINGS signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS SYNC signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: TCPVCON signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: TCPVIEW signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS TESTLIMIT signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: VMMAP signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS VOLUMEID signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS WHOIS signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: WINOBJ signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: SYSINTERNALS ZOOMIT signed by O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Publisher	
Allow	Everyone	C:: %OSDRIVE%\SHARE\*	Path	
Allow	Everyone	C:: GIT signed by O=JOHANNES SCHINDELIN, S=NORDRHEIN-WESTFALEN, C=DE	Publisher	
Allow	Everyone	C:: GIT-CREDENTIAL-MANAGER signed by O=GITHUB, L=SAN FRANCISCO, S=CALIFORNIA, C=US	Publisher	
Allow	Everyone	C:: CONEMU signed by O=MAKSIM MOISIUK, S=BADEN-WÜRTTEMBERG, C=DE	Publisher	
Allow	Everyone	C:: TEHTRIS EDR TRAY signed by O=TEHTRI-SECURITY S.A.S, L=PARIS, S=ILE-DE-FRANCE, C=FR	Publisher	
Allow	Everyone	C:: TEHTRIS ENDPOINT DIAGNOSIS (T.E.D) signed by O=TEHTRI-SECURITY, L=PARIS, C=FR	Publisher	
Allow	Everyone	C:: TEHTRIS EDR signed by O=TEHTRI-SECURITY, L=PARIS, C=FR	Publisher	
Allow	Everyone	C:: TEHTRIS EDR signed by O=TEHTRI-SECURITY S.A.S, L=PARIS, S=ILE-DE-FRANCE, C=FR	Publisher	
Allow	Everyone	C:: TEHTRIS EDR MEMSCAN signed by O=TEHTRI-SECURITY S.A.S, L=PARIS, S=ILE-DE-FRANCE, C=FR	Publisher	
Allow	Everyone	C:: CYBERIA-AV-EDR signed by O=TEHTRI-SECURITY S.A.S, L=PARIS, S=ILE-DE-FRANCE, C=FR	Publisher	
Allow	Everyone	C:: 7-ZIP signed by O=VMWARE INC., L=PALO ALTO, S=CALIFORNIA, C=US	Publisher	
Allow	Everyone	C:: CB LAUNCHER signed by O=VMWARE INC., L=PALO ALTO, S=CALIFORNIA, C=US	Publisher	
Allow	Everyone	C:: VMWARE TOOLS signed by O=VMWARE INC., L=PALO ALTO, S=CALIFORNIA, C=US	Publisher	
Allow	Everyone	C:: VMWARE GUEST AUTHENTICATION signed by O=VMWARE INC., L=PALO ALTO, S=CALIFORNIA, C=US	Publisher	
Allow	Everyone	C:: EPPDIAGNOSTICTOOL signed by O=TEHTRI-SECURITY S.A.S, L=PARIS, S=ILE-DE-FRANCE, C=FR	Publisher	
Allow	Everyone	C:: EPPUPDATER signed by O=TEHTRI-SECURITY S.A.S, L=PARIS, S=ILE-DE-FRANCE, C=FR	Publisher	
Allow	Everyone	C:: %PROGRAMFILES%\TEHTRIS\TEHTRIS EPP\*	Path	
Allow	Everyone	C:: BITDEFENDER SECURITY signed by O=BITDEFENDER SRL, L=BUCHAREST, C=RO	Publisher	
Allow	Everyone	C:: ENDPOINT SECURITY signed by O=BITDEFENDER SRL, L=BUCHAREST, C=RO	Publisher	
Allow	Everyone	C:: %PROGRAMFILES%\TEHTRIS\ENDPOINTSETUPINFORMATION\{EAA0029E-EDD1-438C-596D-3FE5F4FAB48D}\*	Path	
Allow	Everyone	C:: %PROGRAMFILES%\COMMON FILES\VMWARE\DRIVERS\VSS\*	Path	
Allow	Everyone	C:: %OSDRIVE%\DEVTOOLING\*	Path	
Allow	Everyone	C:: %OSDRIVE%\$RECYCLE.BIN\S-1-5-21-1292301384-3779235027-2520469296-500\*	Path	
